,truelabel,predictres
2015-03-03 11:30,955,1048.665197
2015-03-03 11:45,1062,1078.377409
2015-03-03 12:00,1088,1003.403953
2015-03-03 12:15,981,1112.435724
2015-03-03 12:30,1070,846.8886216
2015-03-03 12:45,1042,994.7478765
2015-03-03 13:00,999,970.4846201
2015-03-03 13:15,997,1042.439236
2015-03-03 13:30,1047,1112.902197
2015-03-03 13:45,1301,1107.740203
2015-03-03 14:00,1046,909.6110352
2015-03-03 14:15,1144,954.1254674
2015-03-03 14:30,1070,993.7701496
2015-03-03 14:45,1071,1025.94602
2015-03-03 15:00,1021,1067.233065
2015-03-03 15:15,1121,1073.372445
2015-03-03 15:30,1232,946.6556587
2015-03-03 15:45,1154,963.6089983
2015-03-03 16:00,1151,1001.195656
2015-03-03 16:15,1200,1034.58798
2015-03-03 16:30,984,1079.484148
2015-03-03 16:45,922,1077.978204
2015-03-03 17:00,1096,976.4001759
2015-03-03 17:15,1144,1022.856075
2015-03-03 17:30,1159,1021.152504
2015-03-03 17:45,1138,1020.515263
2015-03-03 18:00,1107,1043.91327
2015-03-03 18:15,1019,974.0956808
2015-03-03 18:30,1019,1037.450045
2015-03-03 18:45,1172,1000.46976
2015-03-03 19:00,1292,1011.900538
2015-03-03 19:15,1196,1053.149191
2015-03-03 19:30,1161,979.3524902
2015-03-03 19:45,1153,1024.045091
2015-03-03 20:00,1208,1038.188108
2015-03-03 20:15,964,1103.409577
2015-03-03 20:30,1068,1079.711819
2015-03-03 20:45,1220,1037.502867
2015-03-03 21:00,623,1018.183449
2015-03-03 21:15,1004,1013.050216
2015-03-03 21:30,719,1014.157272
2015-03-03 21:45,935,1075.326646
2015-03-03 22:00,951,1073.579479
2015-03-03 22:15,956,1061.447544
2015-03-03 22:30,1004,1061.511801
2015-03-03 22:45,1041,1055.374632
2015-03-03 23:00,1074,1043.312835
2015-03-03 23:15,1028,1031.277434
2015-03-03 23:30,911,1068.943426
2015-03-03 23:45,1042,1056.06994
2015-03-04 0:00,1136,1061.702287
2015-03-04 0:15,1410,1023.604913
2015-03-04 0:30,1067,1037.185982
2015-03-04 0:45,1145,1024.131688
2015-03-04 1:00,1076,1074.772509
2015-03-04 1:15,910,1098.431215
2015-03-04 1:30,1029,975.0414537
2015-03-04 1:45,971,1039.372234
2015-03-04 2:00,1005,989.9648061
2015-03-04 2:15,978,1039.540089
2015-03-04 2:30,1156,1018.243856
2015-03-04 2:45,947,1038.479829
2015-03-04 3:00,935,991.8958957
2015-03-04 3:15,1102,1062.371218
2015-03-04 3:30,1088,963.9855058
2015-03-04 3:45,1171,1000.514379
2015-03-04 4:00,1058,1006.461223
2015-03-04 4:15,1291,1031.63587
2015-03-04 4:30,1009,976.5601979
2015-03-04 4:45,1208,1061.170993
2015-03-04 5:00,567,1043.264335
2015-03-04 5:15,1123,1014.039669
2015-03-04 5:30,1163,995.503154
2015-03-04 5:45,1126,996.0404029
2015-03-04 6:00,1066,1013.153024
2015-03-04 6:15,838,1006.216762
2015-03-04 6:30,808,1062.306785
2015-03-04 6:45,1043,1018.014326
2015-03-04 7:00,1073,965.1273749
2015-03-04 7:15,1032,1025.342972
2015-03-04 7:30,1352,966.6429553
2015-03-04 7:45,1300,987.3420511
2015-03-04 8:00,894,998.2895583
2015-03-04 8:15,898,1064.705344
2015-03-04 8:30,857,1032.765188
2015-03-04 8:45,935,935.1155178
2015-03-04 9:00,1430,972.9180331
2015-03-04 9:15,1259,880.6993937
2015-03-04 9:30,1050,904.7179406
2015-03-04 9:45,819,1024.091385
2015-03-04 10:00,1022,1041.440524
2015-03-04 10:15,1417,985.6448925
2015-03-04 10:30,1110,1010.45608
2015-03-04 10:45,1088,915.7992075
2015-03-04 11:00,1146,888.6188901
2015-03-04 11:15,1007,1008.871404
2015-03-04 11:30,1104,1048.665197
2015-03-04 11:45,973,1078.377409
2015-03-04 12:00,1083,1003.403953
2015-03-04 12:15,904,1112.435724
2015-03-04 12:30,1126,846.8886216
2015-03-04 12:45,1134,994.7478765
2015-03-04 13:00,1059,970.4846201
2015-03-04 13:15,1057,1042.439236
2015-03-04 13:30,1042,1112.902197
2015-03-04 13:45,897,1107.740203
2015-03-04 14:00,1121,909.6110352
2015-03-04 14:15,1193,954.1254674
2015-03-04 14:30,1132,993.7701496
2015-03-04 14:45,1105,1025.94602
2015-03-04 15:00,1058,1067.233065
2015-03-04 15:15,957,1073.372445
2015-03-04 15:30,1109,946.6556587
2015-03-04 15:45,1216,963.6089983
2015-03-04 16:00,1255,1001.195656
2015-03-04 16:15,1297,1034.58798
2015-03-04 16:30,1135,1079.484148
2015-03-04 16:45,1057,1077.978204
2015-03-04 17:00,1011,976.4001759
2015-03-04 17:15,1095,1022.856075
2015-03-04 17:30,1294,1021.152504
2015-03-04 17:45,1134,1020.515263
2015-03-04 18:00,1234,1043.91327
2015-03-04 18:15,1166,974.0956808
2015-03-04 18:30,1162,1037.450045
2015-03-04 18:45,1130,1000.46976
2015-03-04 19:00,1181,1011.900538
2015-03-04 19:15,1220,1053.149191
2015-03-04 19:30,618,979.3524902
2015-03-04 19:45,995,1024.045091
2015-03-04 20:00,684,1038.188108
2015-03-04 20:15,957,1103.409577
2015-03-04 20:30,945,1079.711819
2015-03-04 20:45,1016,1037.502867
2015-03-04 21:00,1074,1018.183449
2015-03-04 21:15,940,1013.050216
2015-03-04 21:30,1051,1014.157272
2015-03-04 21:45,990,1075.326646
2015-03-04 22:00,921,1073.579479
2015-03-04 22:15,1070,1061.447544
2015-03-04 22:30,1109,1061.511801
2015-03-04 22:45,1082,1055.374632
2015-03-04 23:00,1045,1043.312835
2015-03-04 23:15,1015,1031.277434
2015-03-04 23:30,1003,1068.943426
2015-03-04 23:45,868,1056.06994
2015-03-05 0:00,1025,1061.702287
2015-03-05 0:15,1004,1023.604913
2015-03-05 0:30,1099,1037.185982
2015-03-05 0:45,1067,1024.131688
2015-03-05 1:00,1071,1074.772509
2015-03-05 1:15,958,1098.431215
2015-03-05 1:30,928,975.0414537
2015-03-05 1:45,1032,1039.372234
2015-03-05 2:00,1094,989.9648061
2015-03-05 2:15,1271,1039.540089
2015-03-05 2:30,1237,1018.243856
2015-03-05 2:45,1069,1038.479829
2015-03-05 3:00,1052,991.8958957
2015-03-05 3:15,1086,1062.371218
2015-03-05 3:30,507,963.9855058
2015-03-05 3:45,1119,1000.514379
2015-03-05 4:00,1237,1006.461223
2015-03-05 4:15,1306,1031.63587
2015-03-05 4:30,1107,976.5601979
2015-03-05 4:45,905,1061.170993
2015-03-05 5:00,742,1043.264335
2015-03-05 5:15,1077,1014.039669
2015-03-05 5:30,1147,995.503154
2015-03-05 5:45,1113,996.0404029
2015-03-05 6:00,1257,1013.153024
2015-03-05 6:15,1068,1006.216762
2015-03-05 6:30,856,1062.306785
2015-03-05 6:45,826,1018.014326
2015-03-05 7:00,804,965.1273749
2015-03-05 7:15,1198,1025.342972
2015-03-05 7:30,1417,966.6429553
2015-03-05 7:45,1424,987.3420511
2015-03-05 8:00,1040,998.2895583
2015-03-05 8:15,655,1064.705344
2015-03-05 8:30,1009,1032.765188
2015-03-05 8:45,1965,935.1155178
2015-03-05 9:00,1078,972.9180331
2015-03-05 9:15,1366,880.6993937
2015-03-05 9:30,1103,904.7179406
2015-03-05 9:45,1046,1024.091385
2015-03-05 10:00,1082,1041.440524
2015-03-05 10:15,958,985.6448925
2015-03-05 10:30,1086,1010.45608
2015-03-05 10:45,997,915.7992075
2015-03-05 11:00,1155,888.6188901
2015-03-05 11:15,1283,1008.871404
2015-03-05 11:30,1112,1048.665197
2015-03-05 11:45,1022,1078.377409
2015-03-05 12:00,998,1003.403953
2015-03-05 12:15,1184,1112.435724
2015-03-05 12:30,1132,846.8886216
2015-03-05 12:45,1146,994.7478765
2015-03-05 13:00,1238,970.4846201
2015-03-05 13:15,1178,1042.439236
2015-03-05 13:30,1011,1112.902197
2015-03-05 13:45,979,1107.740203
2015-03-05 14:00,1174,909.6110352
2015-03-05 14:15,1149,954.1254674
2015-03-05 14:30,1266,993.7701496
2015-03-05 14:45,1270,1025.94602
2015-03-05 15:00,985,1067.233065
2015-03-05 15:15,1129,1073.372445
2015-03-05 15:30,979,946.6556587
2015-03-05 15:45,1159,963.6089983
2015-03-05 16:00,1269,1001.195656
2015-03-05 16:15,1317,1034.58798
2015-03-05 16:30,1279,1079.484148
2015-03-05 16:45,1174,1077.978204
2015-03-05 17:00,1067,976.4001759
2015-03-05 17:15,1036,1022.856075
2015-03-05 17:30,1172,1021.152504
2015-03-05 17:45,1327,1020.515263
2015-03-05 18:00,587,1043.91327
2015-03-05 18:15,978,974.0956808
2015-03-05 18:30,698,1037.450045
2015-03-05 18:45,927,1000.46976
2015-03-05 19:00,1041,1011.900538
2015-03-05 19:15,970,1053.149191
2015-03-05 19:30,844,979.3524902
2015-03-05 19:45,1086,1024.045091
2015-03-05 20:00,1034,1038.188108
2015-03-05 20:15,937,1103.409577
2015-03-05 20:30,917,1079.711819
2015-03-05 20:45,965,1037.502867
2015-03-05 21:00,900,1018.183449
2015-03-05 21:15,982,1013.050216
2015-03-05 21:30,1035,1014.157272
2015-03-05 21:45,997,1075.326646
2015-03-05 22:00,940,1073.579479
2015-03-05 22:15,891,1061.447544
2015-03-05 22:30,1036,1061.511801
2015-03-05 22:45,1061,1055.374632
2015-03-05 23:00,1088,1043.312835
2015-03-05 23:15,1046,1031.277434
2015-03-05 23:30,1093,1068.943426
2015-03-05 23:45,989,1056.06994
2015-03-06 0:00,941,1061.702287
2015-03-06 0:15,670,1023.604913
2015-03-06 0:30,1009,1037.185982
2015-03-06 0:45,1089,1024.131688
2015-03-06 1:00,1340,1074.772509
2015-03-06 1:15,1090,1098.431215
2015-03-06 1:30,1069,975.0414537
2015-03-06 1:45,664,1039.372234
2015-03-06 2:00,562,989.9648061
2015-03-06 2:15,849,1039.540089
2015-03-06 2:30,1132,1018.243856
2015-03-06 2:45,1314,1038.479829
2015-03-06 3:00,1107,991.8958957
2015-03-06 3:15,874,1062.371218
2015-03-06 3:30,752,963.9855058
2015-03-06 3:45,962,1000.514379
2015-03-06 4:00,1091,1006.461223
2015-03-06 4:15,1083,1031.63587
2015-03-06 4:30,787,976.5601979
2015-03-06 4:45,1024,1061.170993
2015-03-06 5:00,863,1043.264335
2015-03-06 5:15,778,1014.039669
2015-03-06 5:30,826,995.503154
2015-03-06 5:45,1240,996.0404029
2015-03-06 6:00,1454,1013.153024
2015-03-06 6:15,1389,1006.216762
2015-03-06 6:30,1029,1062.306785
2015-03-06 6:45,695,1018.014326
2015-03-06 7:00,919,965.1273749
2015-03-06 7:15,2202,1025.342972
2015-03-06 7:30,1012,966.6429553
2015-03-06 7:45,1509,987.3420511
2015-03-06 8:00,1081,998.2895583
2015-03-06 8:15,1086,1064.705344
2015-03-06 8:30,1045,1032.765188
2015-03-06 8:45,957,935.1155178
2015-03-06 9:00,1031,972.9180331
2015-03-06 9:15,953,880.6993937
2015-03-06 9:30,1184,904.7179406
2015-03-06 9:45,1337,1024.091385
2015-03-06 10:00,1094,1041.440524
2015-03-06 10:15,962,985.6448925
2015-03-06 10:30,1008,1010.45608
2015-03-06 10:45,1492,915.7992075
2015-03-06 11:00,1056,888.6188901
2015-03-06 11:15,1021,1008.871404
2015-03-06 11:30,1106,1048.665197
2015-03-06 11:45,1081,1078.377409
2015-03-06 12:00,975,1003.403953
2015-03-06 12:15,939,1112.435724
2015-03-06 12:30,1077,846.8886216
2015-03-06 12:45,982,994.7478765
2015-03-06 13:00,1073,970.4846201
2015-03-06 13:15,1115,1042.439236
2015-03-06 13:30,1081,1112.902197
2015-03-06 13:45,1000,1107.740203
2015-03-06 14:00,1000,909.6110352
2015-03-06 14:15,995,954.1254674
2015-03-06 14:30,950,993.7701496
2015-03-06 14:45,1204,1025.94602
2015-03-06 15:00,1114,1067.233065
2015-03-06 15:15,1095,1073.372445
2015-03-06 15:30,1076,946.6556587
2015-03-06 15:45,1063,963.6089983
2015-03-06 16:00,1021,1001.195656
2015-03-06 16:15,1165,1034.58798
2015-03-06 16:30,587,1079.484148
2015-03-06 16:45,922,1077.978204
2015-03-06 17:00,665,976.4001759
2015-03-06 17:15,851,1022.856075
2015-03-06 17:30,993,1021.152504
2015-03-06 17:45,931,1020.515263
2015-03-06 18:00,949,1043.91327
