 , 9, , 6, 3, 4, 3, 3, 5, 5, 6, 6, 9, 2, 3, 7, 6, 2, 3, 5, 2, 12, 6, 7, 9, 8, 5, 6, 10, 6, 6, 6, 2, 8, 9, 6, 7, 10, 5, 3, 5, 5, 3, 6, 4, 13, 6, 5, 6, 5, 3, 10, 3, 3, 5, 5, 4, 6, 12, 8, 4, 5, X, 6, 2, 9, 12, 6, 4, 4, 4, 5, 6, 0, X, , 4, 6, 7, 12, 15, 4, 6, 7, 4, 9, 6, 6, 7, 6
 3, 6, 4, 3, 5, 6, 4, 3, 3, 5, 9, 3, 2, 3, 4, 9, 5, 9, 4, 2, 3, 4, 3, 6, 7, 2, 5, 4, 4, 5, 3, 9, 5, 3, 5, 7, 2, 7, 4, 3, 3, 4, 5, 6, 6, 5, 2, 4, 4, 3, 6, 6, 13, 4, 3, 4, 7, 2, 4, 5, 4, 4, X, 4, 8, 6, 7, 3, 3, 4, 7, 4, 9, 6, 2, , 7, 2, 5, 4, 8, 4, 3, 4, 4, 6, 8, 4, 2, 3
 4, 4, 8, 6, 6, 7, 5, 6, 2, 9, 9, 3, 3, 2, 11, 7, 3, 4, 9, 3, 3, 3, 4, 7, 11, 4, 2, 5, 6, 5, 9, 5, 6, 9, 3, 2, 5, 4, 4, 4, 5, 3, 4, 3, 10, 4, 5, 3, 4, 7, 7, 7, 10, 5, 3, 8, 7, 5, 6, 6, 9, 6, X, 2, 7, 5, 4, 8, 3, 4, 8, 2, 6, 7, 7, , 3, 11, 4, , 6, 3, 4, 7, 4, 8, 8, 9, 2, 8
 4, 10, 6, 7, 4, 5, 4, 4, 11, 5, 8, 5, 1, 7, 3, 7, 5, 6, 5, 2, 2, 4, 10, 8, 8, 0, 5, 8, 9, 7, 5, 14, 6, 10, 9, 5, 3, 7, 6, 8, 7, 5, 4, 4, 8, 7, 4, 0, 10, 9, 8, 6, 10, 7, 10, 4, 6, 8, 8, 10, 4, 7, X, 2, 7, 6, 8, 5, 9, 3, 3, 6, 8, 12, 3, , 5, 5, 3, 9, 4, 2, 5, 3, 5, 6, 6, 6, 6, 5
 6, 5, 6, 3, 5, 6, 3, 2, 5, 8, 4, 4, 6, 6, 5, 3, 5, 2, 3, 8, 2, 8, 4, 6, 4, 8, 6, 2, 4, 6, 6, 9, 6, 3, 7, 5, 7, 6, 4, 6, 6, 7, 9, 4, 8, 6, 7, 8, 6, 7, 3, 8, 7, 5, 5, 5, 4, 4, 8, 7, 4, 5, X, 5, 4, 5, 8, 3, 10, 7, 3, 5, 14, 7, 8, , 4, 8, 3, 12, 12, 4, 7, 5, 6, 6, 7, 10, 6, 5
 4, 3, 6, 6, 5, 4, , 7, 8, 8, 5, 8, 3, 6, 6, 12, 6, 6, 3, 5, 5, 5, 3, 4, 6, 3, 5, 3, 4, 6, 7, 9, 9, 7, 2, 5, 5, 9, 4, 2, 2, 5, 6, 3, 12, 3, 4, 8, 6, 5, 7, 6, 7, 4, 3, 4, 4, 8, 9, 6, 5, 5, X, 4, 2, 6, 4, 9, 2, 5, 11, 5, 11, 7, 7, , 5, 4, 5, 8, 14, 4, 7, 5, 10, 8, 6, 6, 4, 3
 3, 4, 7, 5, 4, 4, 6, 5, 11, 7, 10, 4, 5, 4, 5, 4, 6, 10, 3, 4, 8, 6, 4, 6, 5, 5, 2, 7, 5, 6, 4, 8, 4, 5, 3, 4, 5, 10, 7, 3, 3, 5, 5, 4, 8, 5, 4, 2, 5, 5, 2, 7, 5, 5, 3, 5, 6, 7, 11, 8, 9, 6, X, 10, 3, 5, 6, 4, 8, 9, 5, 3, 7, 7, 5, , 5, 11, 3, 12, 9, 9, 6, 5, 6, 4, 7, 8, 5, 5
 5, 4, 10, 6, 5, 6, 6, 5, 8, 6, 10, 3, 7, 4, 4, 5, 5, 9, 4, 5, 3, 7, 4, 7, 8, 6, 5, 8, 5, 3, 9, 5, 4, 5, 8, 6, 7, 13, 7, 2, 5, 5, 5, 8, 12, 8, 8, 6, 10, 4, 4, 7, 4, 6, 6, 3, 8, 4, 4, 9, 6, 7, X, 6, 6, 8, 11, 2, 7, 3, 4, 8, 5, 9, 5, , , 4, 6, 8, 14, 2, 5, 4, 5, 8, 5, 11, 7, 5
 4, 6, 3, 7, 5, 10, 4, 5, 11, 7, 7, 8, 8, 2, 5, 3, 8, 8, 7, 5, 5, 4, 4, 5, 7, 5, 5, 5, 6, 7, 8, 8, 3, 7, 5, 7, 4, 10, 6, 6, 15, 3, 5, 6, 12, 9, 8, 4, 7, 7, 4, 3, 10, 6, 3, 4, 4, 6, 6, 7, 6, 2, X, 6, 9, 4, 5, 5, 11, 2, 3, 3, 7, 7, 4, , 7, 8, 6, 3, 10, 4, 3, 2, 4, 9, 7, 9, 6, 4
 4, 7, 8, 9, 5, , 5, 4, 6, 6, 4, 4, 3, 2, 7, 3, 7, 3, 4, 4, 5, 2, 5, 6, 6, 4, 3, 3, 2, 6, 7, 8, 6, 9, 5, 6, 6, 6, 6, 5, 7, 6, 7, 5, 4, 6, 4, 5, 7, 5, 8, 7, 8, 3, 3, 5, 8, 3, 6, 4, 5, 3, X, 4, 13, , 7, 8, 4, 8, 5, 4, 10, 8, 3, , 4, 5, 4, 7, 14, 3, 7, 5, 6, 4, 7, 5, 6, 8
